Source_row,Species_key,Source_citation,Source_publication_year,Resolution_status
432,Pareas baiseensis,徐宇浩、吴家祥、龚宴安、侯勉、梁晟铭、彭丽芳 (2024) 动物学杂志 10.13859/j.cjz.202424028,2024,removed_duplicate_new_species_row
1888,Pareas geminatus,"王馨、雷蕾、丁利、陈泽柠、戴蓉 (2023). 云南江城县爬行动物多样性与保护现状 动物学杂志, 58(3), 366-380 https://doi.org/10.13859/j.cjz.202303006",2023,removed_duplicate_new_species_row
954,Pareas menglaensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
956,Pareas menglaensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
959,Pareas menglaensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
955,Pareas mengziensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
957,Pareas mengziensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
968,Pareas mengziensis,"Ping Wang and Jing Che and Qin Liu and Ke Li and Jie Qiong Jin and Ke Jiang and Lei Shi and Peng Guo (2020). A revised taxonomy of Asian snail-eating snakes Pareas (Squamata, Pareidae): evidence from morphological comparison and molecular phylogeny ZooKeys, 939, 45–64 https://doi.org/10.3897/zookeys.939.49309",2020,removed_duplicate_new_species_row
898,Pareas mengziensis,"Li Ding、Zening Chen、Chatmongkon Suwannapoom、Tan Van Nguyen、Nikolay A. Poyarkov & Gernot Vogel (2020). A NEW SPECIES OF THE Pareas hamptoni COMPLEX (SQUAMATA: SERPENTES: PAREIDAE) FROM THE GOLDEN TRIANGLE TAPROBANICA, 09(02), 174–193 https://doi.org/10.47605/tapro.v9i2.230",2020,removed_duplicate_new_species_row
2182,Pareas sp. nov.,"CHUNG-WEI YOU and NIKOLAY A. POYARKOV JR & SI-MIN LIN (2015). Diversity of the snail-eating snakes Pareas (Serpentes, Pareatidae) from Taiwan Zoologica Scripta, 44, 349–361 https://doi.org/10.1111/zsc.12111",2015,removed_duplicate_new_species_row
