Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP030,6,Hebius vibakari,江苏,1801,2024,removed_later_duplicate,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
DUP030,6,Hebius vibakari,江苏,1802,2024,removed_later_duplicate,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
DUP030,6,Hebius vibakari,江苏,1803,2024,removed_later_duplicate,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
DUP030,6,Hebius vibakari,江苏,1804,2024,removed_later_duplicate,1798,"叶琳、朱文启、章铁睿、虞磊、高国富、包浩然 (2024). 江苏省蛇类新纪录——东亚腹链蛇 Chinese Journal of Wildlife, 45(1), 216-221 https://doi.org/10.12375/ysdwxb.20240129"
DUP031,2,Hemidactylus tenkatei,广东,1942,2024,retained；同最早年多条，保留行序最先者，需人工裁定,1942,
DUP031,2,Hemidactylus tenkatei,广东,2001,2024,removed_later_duplicate,1942,
DUP032,2,Hemiphyllodactylus hongkongensis,福建,1738,2025,retained；同最早年多条，保留行序最先者，需人工裁定,1738,"马良、罗萧、周承源、曾文昊、吴锦平、汤小明、陈世品 (2025). 福建省爬行动物新记录——香港半叶趾虎 四川动物, 44(3), 299-304 https://doi.org/10.11984/j.issn.1000-7083.20250008"
DUP032,2,Hemiphyllodactylus hongkongensis,福建,1745,2025,removed_later_duplicate,1738,"马良、罗萧、周承源、曾文昊、吴锦平、汤小明、陈世品 (2025). 福建省爬行动物新记录——香港半叶趾虎 四川动物, 44(3), 299-304 https://doi.org/10.11984/j.issn.1000-7083.20250008"
DUP033,2,Kaloula borealis,上海,1389,2015,retained；同最早年多条，保留行序最先者，需人工裁定,1389,"Wei ZHANG and Ben LI and Xiaoxiao SHU and Hanbin XIE and Enle PEI and Xiao YUAN and Yujie SUN and Tianhou WANG and Zhenghuan WANG (2015). A New Record of Kaloula (Amphibia: Anura: Microhylidae) in Shanghai, China Asian Herpetological Research, 6(3), 240–244 https://doi.org/10.16373/j.cnki.ahr.140070"
DUP033,2,Kaloula borealis,上海,1463,2015,removed_later_duplicate,1389,"Wei ZHANG and Ben LI and Xiaoxiao SHU and Hanbin XIE and Enle PEI and Xiao YUAN and Yujie SUN and Tianhou WANG and Zhenghuan WANG (2015). A New Record of Kaloula (Amphibia: Anura: Microhylidae) in Shanghai, China Asian Herpetological Research, 6(3), 240–244 https://doi.org/10.16373/j.cnki.ahr.140070"
